english,hindi,Santali,Nagpuri,Khortha,category,emoji,difficulty
stand,खड़ा होना,ᱛᱤᱸᱜᱩᱱ (Tingun),ठाढ़ होवेक (Thadh howek),ठाढ़ होवेक (Thadh howek),Actions,🧍,easy
give,देना,ᱮᱢ (Em),देवेक (Dewek),देवेक (Dewek),Actions,🤲,easy
take,लेना,ᱦᱟᱛᱟᱣ (Hataw),लेवेक (Lewek),लेवेक (Lewek),Actions,🫳,easy
see,देखना,ᱧᱮᱞ (Njel),देखेक (Dekhek),देखेक (Dekhek),Actions,👀,easy
hear,सुनना,ᱟᱸᱡᱚᱢ (Anjom),सुनेक (Sunek),सुनेक (Sunek),Actions,👂,easy
speak,बोलना,ᱨᱚᱲ (Ror),बोलेक (Bolek),बोलेक (Bolek),Actions,🗣️,easy
listen,सुनना,ᱟᱸᱡᱚᱢ (Anjom),सुनेक (Sunek),सुनेक (Sunek),Actions,🎧,easy
know,जानना,ᱵᱟᱰᱟᱭ (Baday),जानेक (Janek),जानेक (Janek),Actions,🧠,easy
understand,समझना,ᱵᱩᱡᱷᱟᱹᱣ (Bujhaw),बुझेक (Bujhek),बुझेक (Bujhek),Actions,💡,easy
love,प्यार / प्रेम,ᱫᱩᱞᱟᱹᱲ (Dular),पिरीत / मया (Pirit / Maya),मया / पियार (Maya / Piyar),Actions,❤️,easy
help,मदद,ᱜᱚᱲᱚ (Goro),मदत (Madat),मदत (Madat),Actions,🤝,easy
want,चाहना,ᱠᱷᱚᱡ (Khoj),चाहेक (Chahek),चाहेक (Chahek),Actions,✨,easy
need,ज़रूरत,ᱞᱟᱹᱠᱛᱤ (Lakti),जरूरत (Jaroorat),दरकार (Darkar),Actions,📌,easy
Read,पढ़ना,ᱯᱟᱲᱦᱟᱣ (Parhaw),पढ़ेब (Padheb),पढ़ेब (Padheb),Actions,📚,easy
Write,लिखना,ᱚᱞ (Ol),लिखेक (Likhek),लिखेक (Likhek),Actions,✍️,easy
Play,खेलना,ᱮᱱᱮᱡ (Enej),खेलेक (Khelek),खेलेक (Khelek),Actions,⚽,easy
Jump,कूदना,ᱫᱚᱱ (Don),कूदेक (Kudek),कूदेक (Kudek),Actions,🦘,easy
Laugh,हँसना,ᱞᱟᱸᱫᱟ (Landa),हँसेक (Hãsek),हाँसेक (Hãsek),Actions,😄,easy
Cry,रोना,ᱨᱟᱜ (Rag),कांदेब (Kandeb),कांदेब (Kandeb),Actions,😢,easy
Speak,बोलना,ᱨᱚᱲ (Ror),बोलेक (Bolek),बोलेक / बाजेक (Bolek),Actions,🗣️,easy
Look,देखना,ᱧᱮᱞ (Njel),देखेब (Dekheb),देखेब (Dekheb),Actions,👁️,easy
house,घर,ᱚᱲᱟᱜ (Orag),घर (Ghar),घर (Ghar),Places,🏠,easy
home,घर,ᱚᱲᱟᱜ (Orag),घर (Ghar),घर (Ghar),Places,🏡,easy
village,गाँव,ᱟᱹᱛᱩ (Atu),गाँव (Gaon),गाँव (Gaon),Places,🌾,easy
city,शहर,ᱵᱟᱡᱟᱨ (Bajar),सहर (Sahar),सहर (Sahar),Places,🏙️,easy
road,सड़क / रास्ता,ᱰᱟᱦᱟᱨ (Dahar),डहर (Dahar),डहर (Dahar),Places,🛣️,easy
tree,पेड़,ᱫᱟᱨᱮ (Dare),गाछ / रुख (Gaachh),गाछ (Gachh),Nature,🌳,easy
forest,जंगल / वन,ᱵᱤᱨ (Bir),बोन / जंगल (Bon),बोन (Bon),Nature,🌲,easy
river,नदी,ᱜᱟᱰᱟ (Gada),नदी / गड़ा (Nadi),नदी / जोरिया (Nadi),Nature,🌊,easy
mountain,पहाड़,ᱵᱩᱨᱩ (Buru),पहाड़ / बुरु (Pahar),पहाड़ / डूंगरी (Pahar),Nature,⛰️,easy
sun,सूरज,ᱥᱤᱧ (Sinj / Ber),सुरुज / बेर (Suruj),सुरुज / बेरा (Suruj),Nature,☀️,easy
moon,चाँद,ᱪᱟᱸᱫᱚ (Chando),चंदा (Chanda),चाँद / चंदा (Chanda),Nature,🌙,easy
star,तारा,ᱤᱯᱤᱞ (Ipil),तारा (Tara),तारा (Tara),Nature,⭐,easy
sky,आसमान / आकाश,ᱥᱮᱨᱢᱟ (Serma),अकास (Akaas),अकास (Akaas),Nature,☁️,easy
rain,बारिश,ᱫᱟᱜ (Dag),बरखा (Barkha),बरखा (Barkha),Nature,🌧️,easy
fire,आग,ᱥᱮᱸᱜᱮᱞ (Sengel),आग / आगि (Aagi),आगि (Aagi),Nature,🔥,easy
wind,हवा,ᱦᱚᱭ (Hoy),बयार / हवा (Bayar),बयार / हवा (Bayar),Nature,💨,easy
earth,धरती,ᱫᱷᱟᱹᱨᱛᱤ (Dharti),धरती (Dharti),धरती (Dharti),Nature,🌍,easy
Flower,फूल,ᱵᱟᱦᱟ (Baha),फूल (Phool),फूल (Phool),Nature,🌸,easy
Mud / Soil,मिट्टी,ᱦᱟᱥᱟ (Hasa),माटी (Maati),माटी (Maati),Nature,🪴,easy
day,दिन,ᱢᱟᱦᱟ (Maha),दिन (Din),दिन (Din),Time,📅,easy
night,रात,ᱧᱤᱫᱟᱹ (Nida),रात (Raat),रात (Raat),Time,🌙,easy
tomorrow,कल (आने वाला),ᱜᱟᱯᱟ (Gapa),काइल (Kaail),काइल (Kaail),Time,⏭️,easy
today,आज,ᱛᱮᱦᱮᱧ (Tehenj),आज (Aaj),आज (Aaj),Time,📆,easy
yesterday,कल (बीता हुआ),ᱦᱚᱞᱟ (Hola),काइल (Kaail),काइल (Kaail),Time,⏮️,easy
morning,सुबह / सवेरा,ᱥᱮᱛᱟᱜ (Setag),बिहान (Bihan),बिहान (Bihan),Time,🌅,easy
evening,शाम / सांझ,ᱟᱹᱭᱩᱵ (Ayub),साँझ (Sanjh),साँझ (Sanjh),Time,🌇,easy
man,आदमी / पुरुष,ᱦᱮᱲ (Hor / Manwa),मरद / मनई (Marad),मरद (Marad),Family,👨,easy
woman,महिला / औरत,ᱛᱤᱨᱞᱟᱹ (Tirla),जनाना (Janana),जनाना (Janana),Family,👩,easy
child,बच्चा,ᱜᱤᱫᱽᱨᱟᱹ (Gidra),छौआ (Chhaua),गीदरा / छौआ (Gidra),Family,🧒,easy
boy,लड़का,ᱠᱚᱲᱟ (Kora),छौड़ा (Chhaura),छौड़ा (Chhaura),Family,👦,easy
girl,लड़की,ᱠᱩᱲᱤ (Kuri),छौड़ी (Chhauri),छौड़ी (Chhauri),Family,👧,easy
father,पिता / बाबा,ᱟᱯᱟᱛ (Apat / Baba),बाप (Baap),बाप (Baap),Family,👨,easy
mother,माता / माँ,ᱮᱸᱜᱟᱛ (Engat / Ayo),माय (Maay),माय (Maay),Family,👩,easy
brother,भाई,ᱵᱚᱭᱦᱟ (Boyha),भाई (Bhai),भाई (Bhai),Family,👦,easy
sister,बहन,ᱢᱤᱥᱤ (Misi),बहिनी (Bahini),बहिनी (Bahini),Family,👧,easy
son,बेटा,ᱦᱚᱯᱚᱱ (Hopon),बेटा (Beta),बेटा (Beta),Family,👶,easy
daughter,बेटी,ᱦᱚᱯᱚᱱ ᱮᱨᱟ (Hopon Era),बेटी (Beti),बेटी (Beti),Family,👧,easy
husband,पति,ᱦᱮᱨᱮᱞ (Herel),मरद (Marad),मरद (Marad),Family,🤵,easy
wife,पत्नी,ᱵᱟᱹᱦᱩ (Bahu / Era),जनाना / कनिया (Janana),बहू / कनिया (Bahu),Family,👰,easy
friend,दोस्त / संगी,ᱜᱟᱛᱮ (Gate),संगी (Sangi),संगी (Sangi),Family,🤝,easy
Friend,दोस्त / संगी,ᱜᱟᱛᱮ (Gate),संगी (Sangi),संगी (Sangi),Family,🤝,easy
Grandmother,दादी / नानी,ᱵᱩᱰᱷᱤ ᱟᱭᱳ (Budhi Ayo),आजी / नानी (Aaji / Nani),आजी / नानी (Aaji / Nani),Family,👵,easy
Grandfather,दादा / नाना,ᱦᱟᱲᱟᱢ ᱵᱟᱵᱟ (Haram Baba),आजा / नाना (Aaja / Nana),आजा / नाना (Aaja / Nana),Family,👴,easy
Dog,कुत्ता,ᱥᱮᱛᱟ (Seta),कुकुर (Kukur),कुकुर (Kukur),Animals,🐶,easy
Cat,बिल्ली,ᱵᱤᱞᱟᱹᱭ (Bilai),बिलाई (Bilai),बिलाई (Bilai),Animals,🐱,easy
Cow,गाय,ᱜᱟᱹᱭ (Gai),गाय (Gai),गाय (Gai),Animals,🐮,easy
Goat,बकरी,ᱢᱮᱨᱚᱢ (Merom),छेगरी (Chhegri),छेगरी (Chhegri),Animals,🐐,easy
Bird,चिड़िया,ᱪᱮᱬᱮ (Chene),चिरई (Chirai),चिरई (Chirai),Animals,🐦,easy
Fish,मछली,ᱦᱟᱹᱠᱩ (Haku),माछरी (Machhri),माछ (Machh),Animals,🐟,easy
Tiger,बाघ,ᱛᱟᱹᱨᱩᱵ (Tarub),बाघ (Bagh),बाघ (Bagh),Animals,🐯,medium
Elephant,हाथी,ᱦᱟᱹᱛᱤ (Hati),हाथी (Hathi),हाथी (Hathi),Animals,🐘,easy
Monkey,बंदर,ᱜᱟᱹᱬᱤ (Gani),बानर (Banar),बानर (Banar),Animals,🐒,easy
Snake,साँप,ᱵᱤᱧ (Binj),साँप (Saap),साँप (Saap),Animals,🐍,easy
Head,सिर / माथा,ᱵᱚᱦᱚᱜ (Bohog),मूँड़ (Mund),मूड़ा / कपार (Muda / Kapar),Body Parts,🗣️,easy
Eye,आँख,ᱢᱮᱫ (Med),आँख (Aankh),आँख (Aankh),Body Parts,👁️,easy
Ear,कान,ᱞᱩᱛᱩᱨ (Lutur),कान (Kaan),कान (Kaan),Body Parts,👂,easy
Nose,नाक,ᱢᱩᱸ (Mũ),नाक (Naak),नाक (Naak),Body Parts,👃,easy
Mouth,मुँह,ᱢᱚᱪᱟ (Mocha),मुँह (Mũh),मुँह (Mũh),Body Parts,👄,easy
Hand,हाथ,ᱛᱤ (Ti),हाथ (Haath),हाथ (Haath),Body Parts,✋,easy
Leg,पैर / गोड़,ᱡᱟᱝᱜᱟ (Janga),गोड़ (God),गोड़ (God),Body Parts,🦵,easy
Hair,बाल,ᱩᱵ (Ub),चूल / केस (Chool),चूल / केस (Chool),Body Parts,💇,easy
Stomach,पेट,ᱞᱟᱡ (Laj),पेट (Pet),पेट (Pet),Body Parts,🤰,easy
Teeth,दाँत,ᱰᱟᱴᱟ (Data),दाँत (Daant),दाँत (Daant),Body Parts,🦷,easy
Red,लाल,ᱟᱨᱟᱜ (Arag),ललका (Lalka),लाल / ललका (Lalka),Colors,🔴,easy
Black,काला,ᱦᱮᱸᱫᱮ (Hende),करिया (Kariya),करिया (Kariya),Colors,⚫,easy
White,सफ़ेद,ᱯᱩᱸᱰ (Pund),चरका / उज्जर (Charka),चरका (Charka),Colors,⚪,easy
Green,हरा,ᱦᱟᱹᱨᱭᱟᱹᱲ (Haryar),हरियर (Hariyar),हरियर (Hariyar),Colors,🟢,easy
Yellow,पीला,ᱥᱟᱥᱟᱝ (Sasang),पियरा (Piyara),पियरा (Piyara),Colors,🟡,easy
name,नाम,ᱧᱩᱛᱩᱢ (Nutum),नाव (Naav),नाम (Naam),Society,🏷️,easy
age,उम्र / आयु,ᱩᱢᱮᱨ (Umer),उमिर (Umir),उमिर (Umir),Society,🎂,easy
work,काम / कार्य,ᱠᱟᱹᱢᱤ (Kami),काम (Kaam),काम (Kaam),Society,💼,easy
money,पैसा / धन,ᱴᱟᱠᱟ (Taka),पइसा (Paisa),पइसा (Paisa),Society,💰,easy
market,बाज़ार / हाट,ᱦᱟᱴ (Haat),हाट / बजार (Haat),हाट / बजार (Haat),Society,🛍️,easy
buy,खरीदना,ᱠᱤᱨᱤᱧ (Kirinj),किनेक (Kinek),किनेक (Kinek),Society,🛒,easy
sell,बेचना,ᱟᱹᱠᱷᱨᱤᱧ (Akhrinj),बेचेक (Bechek),बेचेक (Bechek),Society,🏷️,easy
School,स्कूल,ᱤᱛᱩᱱ ᱟᱥᱲᱟ (Itun Asra),इस्कूल (School),इस्कूल (School),School,🏫,easy
Book,किताब / पोथी,ᱯᱩᱛᱷᱤ (Puthi),पोथी / किताब (Pothi),किताब / पोथी (Kitab),School,📖,easy
Pen,कलम,ᱠᱚᱞᱚᱢ (Kolom),कलम (Kalam),कलम (Kalam),School,🖊️,easy
big,बड़ा,ᱢᱟᱨᱟᱝ (Marang),बड़ (Bad),बड़ / डांगर (Bad),Adjectives,🐘,easy
small,छोटा,ᱦᱩᱰᱤᱧ (Hudinj),छोट (Chhot),छोट (Chhot),Adjectives,🐁,easy
good,अच्छा / बढ़िया,ᱵᱮᱥ / ᱵᱷᱟᱹᱜᱤ (Bes / Bhagi),बेस (Bes),बेस (Bes),Adjectives,⭐,easy
bad,बुरा / खराब,ᱵᱟᱹᱲᱤᱡ (Barij),खराब (Kharab),बेकार / खराब (Kharab),Adjectives,❌,easy
hot,गर्म,ᱞᱚᱞᱚ (Lolo),तातल / गरम (Tatal),तातल (Tatal),Adjectives,🔥,easy
cold,ठंडा,ᱨᱮᱭᱟᱲ (Reyar),ठंढा (Thandha),ठंढा / सिराय (Thandha),Adjectives,❄️,easy
new,नया,ᱱᱟᱣᱟ (Nawa),नवा (Nawa),नवा (Nawa),Adjectives,✨,easy
old,पुराना,ᱢᱟᱨᱮ (Mare),पुरान (Puran),पुरान (Puran),Adjectives,📜,easy
fast,तेज़ / जल्दी,ᱞᱚᱜᱚᱱ (Logon),तेज / जल्दी (Tej),तेज (Tej),Adjectives,⚡,easy
slow,धीमा / धीरे,ᱵᱟᱹᱭ ᱵᱟᱹᱭᱛᱮ (Bay bayte),धीरा (Dheera),धीमे (Dheeme),Adjectives,🐢,easy
happy,खुश / प्रसन्न,ᱨᱟᱹᱥᱠᱟᱹ (Raska),खुस (Khus),खुस (Khus),Adjectives,😊,easy
sad,उदास,ᱟᱹᱲᱤᱥ (Aris / Dukh),उदास (Udas),उदास (Udas),Adjectives,😔,easy
angry,गुस्सा,ᱮᱫᱽᱨᱮ (Edre),राग / गुस्सा (Raag),रागाइल (Ragail),Adjectives,😠,easy
tired,थका हुआ,ᱞᱟᱸᱜᱟ (Langa),थाकल (Thakal),थाकल (Thakal),Adjectives,😫,easy
sick,बीमार,ᱨᱩᱣᱟᱹ (Ruwa),बेमार (Bemar),बेमार (Bemar),Adjectives,🤒,easy
healthy,स्वस्थ,ᱱᱤᱨᱚᱜ (Nirog),तगड़ा / चंगा (Changa),चंगा (Changa),Adjectives,💪,easy
one,एक,ᱢᱤᱫ (Mid),एक (Ek),एक (Ek),Numbers,1️⃣,easy
two,दो,ᱵᱟᱨ (Bar),दुई (Dui),दुई (Dui),Numbers,2️⃣,easy
three,तीन,ᱯᱮ (Pe),तीन (Teen),तीन (Teen),Numbers,3️⃣,easy
four,चार,ᱯᱩᱱ (Pun),चार (Chaar),चार (Chaar),Numbers,4️⃣,easy
five,पाँच,ᱢᱚᱬᱮ (More),पाँच (Paanch),पाँच (Paanch),Numbers,5️⃣,easy
what,क्या,ᱪᱮᱫ (Ched),का (Ka),की (Ki),Questions,❓,easy
where,कहाँ,ᱚᱠᱟ (Oka / Okare),कहाँ (Kahan),कहाँ (Kahan),Questions,📍,easy
who,कौन,ᱚᱠᱚᱭ (Okoy),के / कौन (Ke),के (Ke),Questions,👤,easy
how,कैसे,ᱪᱮᱫ ᱞᱮᱠᱟ (Ched leka),कैसन (Kaisan),कैसन (Kaisan),Questions,🤔,easy
when,कब,ᱛᱤᱥ (Tis),कब (Kab),कखन / कब (Kakhan),Questions,⏰,easy
why,क्यों,ᱪᱮᱫᱟᱜ (Chedag),काहे (Kaahe),काहे (Kaahe),Questions,🤷,easy
How are you?,आप कैसे हैं? / तुम कैसे हो?,ᱪᱮᱫ ᱞᱮᱠᱟ ᱢᱮᱱᱟᱢᱟ? (Ched leka menama?),रउरे / तोहे कैसन अही? (Tohin kaisan ahi?),तोहे कैसन हीं? (Tohe kaisan heen?),Conversations,🤝,easy
I am fine.,मैं ठीक हूँ।,ᱤᱧ ᱵᱮᱥ ᱜᱮ ᱢᱤᱱᱟᱹᱧᱟ (Inj bes ge minanja),हम बेस / ठीक अही (Ham bes ahi),हम बेस / ठीक ही (Ham bes heen),Conversations,😊,easy
What is your name?,तुम्हारा नाम क्या है?,ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱪᱮᱫ? (Amag nutum do ched?),तोहर नाव का हेके? (Tohar naav ka heke?),तोहर नाम की हकौ? (Tohar नाम ki hakao?),Conversations,🏷️,easy
My name is...,मेरा नाम ... है।,ᱤᱧᱟᱜ ᱧᱩᱛᱩᱢ ... ᱠᱟᱱᱟ (Injag nutum ... kana),मोर नाव ... हेके (Mor naav ... heke),हमर नाम ... हकौ (Hamar naam ... hakao),Conversations,🧒,easy
Come here,यहाँ आओ,ᱱᱚᱰᱮ ᱦᱤᱡᱩᱜ ᱢᱮ (Node hijug me),यहाँ आऊ / आवा (Yahan aaw),हियाँ आब (Hiyan aaw),Conversations,👉,easy
Go there,वहाँ जाओ,ᱦᱟᱸᱰᱮ ᱥᱮᱱᱚᱜ ᱢᱮ (Hande senog me),हुवाँ जा / जावा (Huwan ja),हुवाँ जा (Huwan ja),Conversations,👉,easy
I am playing,मैं खेल रहा हूँ,ᱤᱧ ᱮᱱᱮᱡ ᱠᱟᱱᱟᱹᱧ (Inj enej kanaj),हम खेलत अही (Ham khelat ahi),हम खेल रहल ही (Ham khel rahal heen),Conversations,⚽,easy
This is a book.,यह एक किताब है।,ᱱᱚᱣᱟ ᱢᱤᱫ ᱯᱩᱛᱷᱤ ᱠᱟᱱᱟ (Nowa mid puthi kana),ई एगो किताब हेके (Ee ego kitab heke),ई एगो किताब हकौ (Ee ego kitab hakao),Conversations,📖,easy
Give me water.,मुझे पानी दो।,ᱤᱧ ᱫᱟᱜ ᱮᱢᱟᱹᱧ ᱢᱮ (Inj da' emaj me),मोके पानी देवा (Moke pani dewa),हमरा पानी दे (Hamra pani de),Conversations,💧,easy
Where are you going?,तुम कहाँ जा रहे हो?,ᱟᱢ ᱚᱠᱟᱛᱮᱢ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ? (Am okatem chalag kana?),तोहे कहाँ जात अहिस? (Tohe kahan jaat ahis?),तोहें कहाँ जा रहल हें? (Tohen kahan ja rahal heen?),Conversations,🧭,easy
Let's study.,चलो पढ़ाई करें।,ᱪᱚᱞᱚ ᱵᱚᱱ ᱯᱟᱲᱦᱟᱣᱜᱼᱟ (Cholo bon parhawg-a),चला पढ़ल जाय (Chala padhal jaay),चला पढ़े लागियै (Chala padhe lagiyai),Conversations,📚,easy
Look at the tree.,पेड़ को देखो।,ᱫᱟᱨᱮ ᱧᱮᱞ ᱢᱮ (Dare njel me),गाछ के देखा (Gachh ke dekha),गाछ टा के देख (Gachh ta ke dekh),Conversations,🌳,easy
Drink milk.,दूध पियो।,ᱛᱚᱣᱟ ᱧᱩᱭ ᱢᱮ (Towa njuy me),दूध पिउ (Doodh piu),दूध पी (Doodh pee),Conversations,🥛,easy
Stand up.,खड़े हो जाओ।,ᱛᱤᱸᱜᱩᱱ ᱢᱮ (Tingun me),ठाढ़ होवा (Thadh howa),ठाढ़ हो (Thadh ho),Conversations,🧍,easy
Sit down.,बैठ जाओ।,ᱫᱩᱲᱩᱵ ᱢᱮ (Durub me),बैठ जाय (Baith jaay),बैस जा (Bais ja),Conversations,🪑,easy
You are very smart.,तुम बहुत होशियार हो।,ᱟᱢ ᱟᱹᱰᱤ ᱪᱟᱞᱟᱠ ᱠᱟᱱᱟᱢ (Am adi chalak kanam),तोहे बड़ा होसियार अहिस (Tohe bada hosiyar ahis),तोहें बेस हुसियार हें (Tohen bes husiyar heen),Conversations,🌟,easy
